patient_id,name,birth_date,gender,cpf,rg,rg_issuer,mobile_phone,home_phone,office_phone,email,email_secondary,birth_place,birth_state,zip_code,address,number,complement,neighborhood,city,state,country,picture_filename,ethnicity,marital_status,religion,occupation,education,responsible,cns,died,death_info,nationality,indication,indication_observation,active,receive_email,observation,healthinsurance_pack,patientrelatedness_mother_names,patientrelatedness_father_names,tag_names,tag_physician_id
0,Pedro Henrique Porto,,,,,,,,(21)9313-9128,,,Campos do Amparo, RJ,31924-681,Quadra Caroline Dias,482,,Salgado Filho,Ramos,,BR,,,,,Reumatologista,,,,,,,,,,,,,Emanuella Lima,Diego Silveira,,
1,João Vitor da Paz,1996-01-01,,,,,,,(21)5202-2566,,,Araújo, AP,28517-970,Setor Nunes,,,Santa Lúcia,Nogueira,,BR,,wh,wi,,Fotógrafo,,,,,,,,,,,,,Isabel Gomes,André Campos,,
2,Theo Nunes,1959-01-01,,,,,,,,,,Lopes,,,,,,,,,BR,,br,,,Atendente,,,,,,,,,,,,,Brenda Mendes,Eduardo Lima,,
3,Isis da Rosa,1983-01-01,,,,,,,,,,,,,,,,,,,BR,,ye,,,Encarregado de manutenção predial,,,,,,,,,,,,,Rebeca da Rocha,,,
4,Srta. Beatriz Santos,,,,,,,,,,,Peixoto, MA,59801-069,Favela de Peixoto,43,,Pantanal,Barros de Moreira,,BR,,br,st,,Psicólogo,,,,,,,,,,,,,Gabrielly da Costa,,,
5,Sofia Pires,,,,,,,,(51)5247-5165,,,Oliveira da Mata, TO,35356-581,Vale de Porto,9,,Mangueiras,Jesus,,BR,,ye,,,Chapeiro,,,,,,,,,,,,,Gabriela Mendes,Pietro Mendes,,
6,Francisco da Mota,2011-01-01,,,,,,,(11)6998-0347,,,Barbosa,,,,,,,,,BR,,br,wi,,Agrimensor,,,,,,,,,,,,,Alexia Rocha,,,
7,Renan Viana,,,,,,,(61)2746-3446,,,,Santos, SE,97431-633,Núcleo de Gonçalves,85,,Luxemburgo,Gomes,,BR,,,,,Agente comunitário de saúde,,,,,,,,,,,,,Srta. Alícia Aragão,Diogo Moreira,,
8,Levi Costa,2024-01-01,,,,,,(11)1539-6312,,,,Souza Alegre, GO,31959-427,Quadra Novaes,,,Chácara Leonina,Rezende,,BR,,br,se,,Cadista,,,,,,,,,,,,,,Davi Lucca Jesus,,
9,Otávio Costela,1977-01-01,,,,,(55)93830-8018,,,,,Porto, SP,39908-411,Estrada Melo,,,Calafate,Barros do Oeste,,BR,,br,se,,Gerente de inovações ou novos negócios,,,,,,,,,,,,,,Emanuel da Luz,,
10,Sarah da Costa,1926-01-01,,,,,(71)94287-9951,,,,,da Conceição da Praia, RJ,10283-614,Praia de Campos,8,,Jardinópolis,Duarte das Pedras,,BR,,,st,,Harpista,,,,,,,,,,,,,Ana Júlia da Mata,Luiz Felipe Peixoto,,
11,Emanuel Lopes,1948-01-01,,,,,,(84)5025-8872,,,,Martins do Norte, TO,64159-330,Quadra de Santos,28,,Vila Jardim São José,Oliveira de Goiás,,BR,,wh,ma,,Ferroviário,,,,,,,,,,,,,Maysa Lopes,Rafael das Neves,,
